epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.894,1.06692,0.86139,1.06949,0.88339,0.94104,0.97589,0.64487,1.08923,0.60786,1.0491,0.000475535,0.000475535,0.000475535
2,260.619,1.0414,0.58757,1.0641,0.86522,0.94364,0.98737,0.67667,0.99162,0.549,1.02083,0.000944016,0.000944016,0.000944016
3,390.713,1.02165,0.55967,1.06327,0.97403,0.99166,0.98572,0.64977,1.03169,0.50183,1.02551,0.00140464,0.00140464,0.00140464
4,521.102,1.00388,0.53664,1.06428,0.98423,0.98791,0.99246,0.68231,1.00012,0.49509,1.02213,0.00139363,0.00139363,0.00139363
5,639.717,0.9993,0.50999,1.0543,0.9917,0.99234,0.99398,0.68717,1.01179,0.45449,1.01494,0.00138184,0.00138184,0.00138184
6,759.345,0.99203,0.50147,1.04775,0.98896,0.99315,0.99354,0.67352,0.97368,0.4565,1.02056,0.00137005,0.00137005,0.00137005
7,875.203,0.97488,0.48514,1.05247,0.96578,0.9795,0.97882,0.64787,0.96333,0.44148,1.01201,0.00135826,0.00135826,0.00135826
8,999.318,0.95898,0.4732,1.05276,0.99669,0.99341,0.99473,0.68256,0.93509,0.43425,1.00914,0.00134648,0.00134648,0.00134648
9,1121.3,0.95922,0.46585,1.05278,0.99822,0.99439,0.99492,0.70712,0.94161,0.42053,1.00374,0.00133469,0.00133469,0.00133469
10,1240.61,0.94474,0.4493,1.03983,0.99381,0.99516,0.99468,0.70961,0.92632,0.41505,1.00665,0.0013229,0.0013229,0.0013229
11,1357.7,0.94229,0.44466,1.04112,0.99343,0.99003,0.9945,0.68032,0.93669,0.41845,1.0359,0.00131111,0.00131111,0.00131111
12,1474.54,0.93523,0.44349,1.0386,0.99554,0.99395,0.99467,0.70829,0.94541,0.41044,0.99875,0.00129932,0.00129932,0.00129932
13,1591.14,0.92733,0.43645,1.03612,0.99498,0.995,0.99483,0.71516,0.91167,0.39902,0.99681,0.00128753,0.00128753,0.00128753
14,1706.53,0.92907,0.43118,1.03684,0.99248,0.99557,0.99473,0.72349,0.91589,0.39701,1.00078,0.00127574,0.00127574,0.00127574
15,1822.15,0.92468,0.42694,1.03728,0.98696,0.99544,0.9909,0.71179,0.92922,0.39048,0.99989,0.00126395,0.00126395,0.00126395
16,1937.76,0.92431,0.42343,1.0288,0.99596,0.99597,0.99481,0.7109,0.93458,0.40604,1.00657,0.00125216,0.00125216,0.00125216
17,2053.19,0.91283,0.41906,1.03854,0.99421,0.99567,0.99439,0.7032,0.94449,0.39888,1.01074,0.00124037,0.00124037,0.00124037
18,2168.42,0.91757,0.41561,1.03494,0.99533,0.99534,0.99455,0.71499,0.91636,0.3977,1.00817,0.00122858,0.00122858,0.00122858
19,2283.65,0.90846,0.41036,1.03027,0.99751,0.99557,0.9949,0.71241,0.91148,0.38322,1.00158,0.00121679,0.00121679,0.00121679
20,2398.83,0.90104,0.40857,1.02735,0.99519,0.99678,0.99438,0.72309,0.91912,0.38091,0.99944,0.001205,0.001205,0.001205
21,2513.99,0.90901,0.40545,1.03036,0.99646,0.99655,0.99485,0.72025,0.91474,0.38552,1.01753,0.00119322,0.00119322,0.00119322
22,2629.19,0.90369,0.40134,1.02621,0.9976,0.99539,0.99484,0.71607,0.91622,0.37495,0.99823,0.00118143,0.00118143,0.00118143
23,2744.36,0.90237,0.40274,1.03064,0.99648,0.99422,0.99474,0.70954,0.92218,0.38025,1.01384,0.00116964,0.00116964,0.00116964
24,2859.84,0.90105,0.39766,1.03233,0.99692,0.99589,0.99485,0.71666,0.891,0.36588,1.01228,0.00115785,0.00115785,0.00115785
25,2975.13,0.90558,0.39829,1.03401,0.99729,0.99355,0.99477,0.71295,0.9086,0.37018,1.01398,0.00114606,0.00114606,0.00114606
26,3090.56,0.89428,0.3919,1.03073,0.99107,0.99513,0.99464,0.72521,0.89494,0.36992,1.00034,0.00113427,0.00113427,0.00113427
27,3205.85,0.88952,0.38831,1.0227,0.99682,0.99516,0.99488,0.71931,0.91408,0.36469,1.00901,0.00112248,0.00112248,0.00112248
28,3321.06,0.88713,0.38938,1.03342,0.9956,0.99267,0.99456,0.72232,0.90913,0.36141,1.02166,0.00111069,0.00111069,0.00111069
