epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.498,0.83452,0.36509,1.00224,0.99467,0.99723,0.9941,0.73571,0.83896,0.31519,1.01668,0.000475668,0.000475668,0.000475668
2,290.366,0.84042,0.35886,1.00626,0.99599,0.99807,0.99421,0.72425,0.86174,0.33536,1.0187,0.000889169,0.000889169,0.000889169
3,433.354,0.84422,0.37039,1.01687,0.994,0.99839,0.99393,0.72463,0.85394,0.35207,1.0676,0.00123979,0.00123979,0.00123979
4,575.6,0.84634,0.37083,1.01558,0.99711,0.99769,0.99414,0.72246,0.85845,0.34221,1.03092,0.00114606,0.00114606,0.00114606
5,717.482,0.84217,0.36621,1.01033,0.99725,0.99819,0.99406,0.72405,0.86975,0.33795,1.02184,0.00105174,0.00105174,0.00105174
6,869.355,0.85135,0.35317,0.99166,0.99513,0.99769,0.99395,0.71274,0.86914,0.34693,1.00833,0.00095743,0.00095743,0.00095743
7,1011.32,0.84137,0.34614,0.99925,0.99577,0.99815,0.99359,0.72489,0.85655,0.33742,1.00674,0.000863116,0.000863116,0.000863116
8,1154.23,0.84186,0.33996,0.98238,0.99678,0.99702,0.99403,0.73321,0.83772,0.33005,0.9924,0.000768802,0.000768802,0.000768802
9,1295.14,0.83262,0.33247,0.98626,0.99704,0.99802,0.99402,0.72423,0.84507,0.32364,1.00692,0.000674488,0.000674488,0.000674488
10,1443.73,0.81917,0.32091,0.98153,0.99669,0.99783,0.99417,0.72827,0.84016,0.31394,0.98903,0.000580174,0.000580174,0.000580174
11,1584.03,0.81926,0.3172,0.98094,0.99603,0.99769,0.99425,0.73616,0.83051,0.3114,0.99066,0.00048586,0.00048586,0.00048586
12,1835.53,0.80431,0.30974,0.97123,0.99665,0.99815,0.99416,0.73105,0.83523,0.30766,0.99753,0.000391546,0.000391546,0.000391546
13,2166.36,0.80042,0.30327,0.97323,0.99668,0.99832,0.99414,0.74077,0.82112,0.30484,0.99018,0.000297232,0.000297232,0.000297232
14,2524.94,0.79117,0.29727,0.96802,0.99657,0.99837,0.99418,0.73608,0.82933,0.30187,1.00467,0.000202918,0.000202918,0.000202918
15,2977.4,0.78382,0.29101,0.97,0.99578,0.99854,0.9941,0.7367,0.82016,0.29649,0.99245,0.000108604,0.000108604,0.000108604
