epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.226,0.85268,0.379,0.95395,0.99633,0.99769,0.99391,0.73065,0.85883,0.32667,0.95253,0.000475668,0.000475668,0.000475668
2,664.25,0.85779,0.37316,0.95788,0.99564,0.99538,0.99421,0.72431,0.87806,0.33981,0.96397,0.000889169,0.000889169,0.000889169
3,993.928,0.861,0.38555,0.96198,0.9919,0.99677,0.99366,0.7224,0.85961,0.34495,0.95948,0.00123979,0.00123979,0.00123979
4,1323.29,0.85946,0.38147,0.95637,0.99332,0.99861,0.99392,0.7248,0.86352,0.3314,0.96238,0.00114606,0.00114606,0.00114606
5,1653.41,0.85353,0.37398,0.95893,0.99592,0.99769,0.99407,0.72225,0.87253,0.33535,0.96155,0.00105174,0.00105174,0.00105174
6,1994.77,0.86814,0.35809,0.9622,0.99651,0.99836,0.99408,0.73125,0.86751,0.34243,0.96055,0.00095743,0.00095743,0.00095743
7,2324.09,0.85898,0.35548,0.96048,0.9955,0.99695,0.99368,0.72586,0.86628,0.33845,0.96019,0.000863116,0.000863116,0.000863116
8,2653.51,0.85652,0.34779,0.95996,0.99631,0.99785,0.99414,0.73727,0.84264,0.32509,0.95162,0.000768802,0.000768802,0.000768802
9,2983.19,0.84343,0.3365,0.95521,0.99729,0.99759,0.99409,0.72706,0.8594,0.32677,0.95507,0.000674488,0.000674488,0.000674488
10,3312.23,0.83459,0.33237,0.9506,0.99804,0.9967,0.99419,0.72933,0.852,0.31604,0.95303,0.000580174,0.000580174,0.000580174
11,3642.55,0.82804,0.32265,0.9495,0.9949,0.99677,0.99327,0.73952,0.83497,0.30895,0.94552,0.00048586,0.00048586,0.00048586
12,3975.26,0.81593,0.31317,0.93917,0.99742,0.99815,0.99409,0.74109,0.84131,0.30502,0.94787,0.000391546,0.000391546,0.000391546
13,4305.16,0.815,0.30744,0.94337,0.99741,0.99815,0.99417,0.73555,0.83094,0.29526,0.94489,0.000297232,0.000297232,0.000297232
14,4634.02,0.80302,0.29981,0.94307,0.9965,0.99797,0.99414,0.74045,0.83217,0.29488,0.94584,0.000202918,0.000202918,0.000202918
15,4973.57,0.79264,0.29161,0.93818,0.99721,0.99815,0.99413,0.74441,0.82502,0.28706,0.94071,0.000108604,0.000108604,0.000108604
