epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.676,1.07525,0.80101,1.10214,0.87954,0.90893,0.93864,0.60325,1.08064,0.67996,1.07546,0.00047553,0.00047553,0.00047553
2,565.068,1.0627,0.60536,1.08402,0.97895,0.97878,0.991,0.67657,0.99062,0.51375,1.04099,0.000940084,0.000940084,0.000940084
3,841.368,1.0442,0.57686,1.06956,0.98039,0.98753,0.99082,0.66957,0.97102,0.47398,1.03008,0.00139285,0.00139285,0.00139285
4,1117.59,1.01486,0.53717,1.05003,0.99354,0.97579,0.9917,0.67863,0.96013,0.44811,1.0156,0.00137595,0.00137595,0.00137595
5,1393.8,0.99485,0.50437,1.03981,0.97938,0.99307,0.99107,0.69266,0.9384,0.44314,1.00374,0.00135826,0.00135826,0.00135826
6,1670.14,0.97396,0.48649,1.02849,0.99197,0.98731,0.99103,0.68973,0.92518,0.42842,0.99621,0.00134058,0.00134058,0.00134058
7,1945.64,0.97696,0.47654,1.02788,0.99159,0.99162,0.9921,0.69182,0.92396,0.4189,0.99527,0.0013229,0.0013229,0.0013229
8,2221.25,0.96284,0.4629,1.0212,0.98831,0.99169,0.99331,0.7086,0.90918,0.39767,0.99307,0.00130521,0.00130521,0.00130521
9,2497.72,0.95084,0.45359,1.01761,0.98736,0.99619,0.99402,0.71511,0.89539,0.39668,0.98065,0.00128753,0.00128753,0.00128753
10,2774.26,0.93491,0.44134,1.00682,0.99457,0.99723,0.99407,0.7099,0.89401,0.37478,0.97496,0.00126985,0.00126985,0.00126985
11,3050.15,0.94411,0.44126,1.01413,0.99595,0.99697,0.99407,0.697,0.89676,0.38132,0.97976,0.00125216,0.00125216,0.00125216
12,3325.83,0.93809,0.43452,1.00311,0.99665,0.99743,0.99452,0.70235,0.8964,0.38091,0.98211,0.00123448,0.00123448,0.00123448
13,3601.89,0.92827,0.42776,1.00268,0.98101,0.99475,0.98988,0.71325,0.89304,0.38569,0.9764,0.00121679,0.00121679,0.00121679
14,3878.19,0.92253,0.41872,0.99616,0.99403,0.99514,0.9941,0.71218,0.88091,0.36961,0.97159,0.00119911,0.00119911,0.00119911
15,4153.93,0.91416,0.41559,0.9977,0.99582,0.99768,0.99407,0.71466,0.89625,0.36902,0.97658,0.00118143,0.00118143,0.00118143
16,4429.97,0.91079,0.40953,0.99383,0.99698,0.99677,0.99409,0.71063,0.88705,0.36561,0.9741,0.00116374,0.00116374,0.00116374
17,4705.51,0.91569,0.40988,0.99891,0.99711,0.99769,0.99412,0.72576,0.87048,0.35993,0.96808,0.00114606,0.00114606,0.00114606
18,4982.01,0.90533,0.40658,0.99227,0.99627,0.99677,0.99382,0.72271,0.87629,0.35428,0.96718,0.00112837,0.00112837,0.00112837
19,5257.87,0.90054,0.40191,0.9898,0.99577,0.99502,0.99413,0.72646,0.88303,0.35379,0.96941,0.00111069,0.00111069,0.00111069
20,5534.11,0.89373,0.39587,0.98924,0.99562,0.99674,0.99409,0.70911,0.88599,0.35608,0.9713,0.00109301,0.00109301,0.00109301
21,5809.84,0.89787,0.39448,0.98146,0.99565,0.99815,0.99414,0.72521,0.88533,0.35251,0.96847,0.00107532,0.00107532,0.00107532
22,6085.75,0.89642,0.39479,0.98661,0.99726,0.99631,0.99431,0.7202,0.87044,0.34278,0.96354,0.00105764,0.00105764,0.00105764
23,6361.63,0.89392,0.3891,0.98604,0.99721,0.99687,0.99409,0.71981,0.8811,0.34585,0.96745,0.00103995,0.00103995,0.00103995
24,6637.58,0.90412,0.39207,0.98429,0.99632,0.99719,0.99416,0.72719,0.87404,0.34197,0.96623,0.00102227,0.00102227,0.00102227
25,6914.18,0.89067,0.3844,0.98364,0.99454,0.99382,0.99278,0.712,0.869,0.33806,0.96257,0.00100459,0.00100459,0.00100459
26,7190.08,0.87672,0.3793,0.97518,0.99536,0.99677,0.99379,0.71994,0.87833,0.3424,0.96896,0.000986903,0.000986903,0.000986903
27,7465.82,0.89385,0.382,0.98343,0.99703,0.99769,0.99411,0.7203,0.86447,0.3445,0.96016,0.000969219,0.000969219,0.000969219
28,7742.48,0.8894,0.37949,0.97908,0.99426,0.997,0.99354,0.71826,0.86407,0.33573,0.96008,0.000951535,0.000951535,0.000951535
29,8018.27,0.87962,0.37666,0.97734,0.99522,0.9958,0.99401,0.72874,0.85943,0.33332,0.95895,0.000933851,0.000933851,0.000933851
30,8295.75,0.87593,0.37432,0.97302,0.99671,0.99749,0.99437,0.7207,0.87515,0.33207,0.96248,0.000916168,0.000916168,0.000916168
31,8571.67,0.8817,0.37406,0.97253,0.99661,0.99769,0.99413,0.72493,0.85809,0.32763,0.95608,0.000898484,0.000898484,0.000898484
32,8847.75,0.87352,0.3685,0.97223,0.99681,0.99769,0.99418,0.72189,0.86493,0.32671,0.9569,0.0008808,0.0008808,0.0008808
33,9123.25,0.87431,0.36558,0.9729,0.99541,0.99647,0.99405,0.73468,0.85191,0.32567,0.95565,0.000863116,0.000863116,0.000863116
34,9399.73,0.87697,0.3666,0.97378,0.99675,0.99737,0.99433,0.73163,0.86553,0.33152,0.9577,0.000845432,0.000845432,0.000845432
35,9675.74,0.86291,0.3675,0.97047,0.99625,0.99861,0.9941,0.73566,0.85355,0.32906,0.95327,0.000827748,0.000827748,0.000827748
36,9952.06,0.86771,0.36637,0.96778,0.99686,0.99849,0.99416,0.72493,0.85157,0.3219,0.95636,0.000810064,0.000810064,0.000810064
37,10228.3,0.86278,0.36411,0.96955,0.99683,0.9983,0.99441,0.73686,0.84495,0.32034,0.95021,0.00079238,0.00079238,0.00079238
38,10504.5,0.86685,0.36558,0.96859,0.99677,0.99769,0.99412,0.72786,0.86235,0.32552,0.95745,0.000774697,0.000774697,0.000774697
39,279.437,0.86389,0.35794,0.97084,0.99462,0.99742,0.994,0.73371,0.84222,0.31859,0.94835,0.000757013,0.000757013,0.000757013
40,552.631,0.86266,0.35666,0.96815,0.99674,0.99737,0.99411,0.73019,0.85901,0.32096,0.95536,0.000739329,0.000739329,0.000739329
41,826.191,0.87018,0.35742,0.97244,0.99609,0.99906,0.99417,0.73837,0.8432,0.31299,0.94977,0.000721645,0.000721645,0.000721645
42,1100.2,0.85633,0.35816,0.96395,0.99666,0.99814,0.99429,0.73198,0.84409,0.31582,0.94876,0.000703961,0.000703961,0.000703961
43,1376.62,0.85105,0.35629,0.96198,0.99686,0.99704,0.99416,0.73117,0.84468,0.31471,0.94939,0.000686277,0.000686277,0.000686277
44,1650.96,0.84891,0.35391,0.96137,0.99724,0.99812,0.99438,0.73039,0.85369,0.31641,0.95384,0.000668593,0.000668593,0.000668593
45,1926.02,0.86664,0.35227,0.96701,0.99718,0.99815,0.99413,0.73673,0.84933,0.31424,0.95143,0.000650909,0.000650909,0.000650909
46,2200.68,0.84699,0.35002,0.96019,0.99722,0.99769,0.99415,0.73601,0.84134,0.30879,0.94995,0.000633226,0.000633226,0.000633226
47,2475.37,0.85344,0.34857,0.96288,0.9955,0.99793,0.99411,0.73456,0.84754,0.31425,0.94858,0.000615542,0.000615542,0.000615542
48,2749.7,0.84476,0.34972,0.95963,0.99576,0.99861,0.9941,0.73542,0.84532,0.3102,0.95035,0.000597858,0.000597858,0.000597858
49,3024.04,0.84403,0.34116,0.96459,0.99735,0.99778,0.99415,0.73598,0.84073,0.30826,0.94789,0.000580174,0.000580174,0.000580174
50,3298.34,0.84585,0.34154,0.95672,0.99645,0.99745,0.99411,0.74099,0.83673,0.30407,0.94627,0.00056249,0.00056249,0.00056249
51,3573.34,0.83803,0.33993,0.95629,0.996,0.99793,0.9943,0.7397,0.83761,0.30131,0.94731,0.000544806,0.000544806,0.000544806
52,3847.65,0.8375,0.3386,0.95296,0.99726,0.99761,0.99419,0.73812,0.85007,0.30491,0.95008,0.000527122,0.000527122,0.000527122
53,4121.79,0.83093,0.33578,0.9569,0.99718,0.99769,0.99418,0.74364,0.8341,0.30329,0.9462,0.000509438,0.000509438,0.000509438
54,4396.28,0.82733,0.33345,0.95256,0.9974,0.99792,0.99412,0.73699,0.83862,0.30176,0.94591,0.000491755,0.000491755,0.000491755
55,4670.14,0.83134,0.33451,0.95647,0.99587,0.99769,0.99418,0.74347,0.83322,0.30133,0.94471,0.000474071,0.000474071,0.000474071
56,4944.09,0.83052,0.33619,0.95579,0.99726,0.99826,0.99404,0.74202,0.83978,0.30031,0.94488,0.000456387,0.000456387,0.000456387
