angle_deg,axis_ratio,confidence,glare,i,nominal,ok,pixel_density_px,reason,value
-135.8294,0.9998,1.0,0.0,0,0.0,True,149.46,,-0.004915
-135.6444,0.9997,1.0,0.0,1,0.0,True,149.46,,-0.003819
-135.9438,0.999,1.0,0.0,2,0.0,True,149.46,,-0.005593
-135.7148,0.9995,1.0,0.0,3,0.0,True,149.46,,-0.004236
-135.5495,0.999,1.0,0.0,4,0.0,True,149.46,,-0.003256
-135.564,0.9998,1.0,0.0,5,0.0,True,149.46,,-0.003342
-135.9157,0.9997,1.0,0.0,6,0.0,True,149.46,,-0.005427
-135.9155,0.9974,1.0,0.0,7,0.0,True,149.46,,-0.005425
-135.5392,0.9995,1.0,0.0,8,0.0,True,149.46,,-0.003195
-135.6288,0.9993,1.0,0.0,9,0.0,True,149.46,,-0.003726
-68.192,0.9991,1.0,0.0,0,0.4,True,149.46,,0.395899
-68.0756,0.9993,1.0,0.0,1,0.4,True,149.46,,0.396589
-68.1298,0.9985,1.0,0.0,2,0.4,True,149.46,,0.396268
-68.0339,0.9995,1.0,0.0,3,0.4,True,149.46,,0.396836
-68.1778,0.9987,1.0,0.0,4,0.4,True,149.46,,0.395983
-68.0637,0.9993,1.0,0.0,5,0.4,True,149.46,,0.39666
-68.0824,0.9995,1.0,0.0,6,0.4,True,149.46,,0.396549
-68.166,0.9989,1.0,0.0,7,0.4,True,149.46,,0.396053
-68.1537,0.9997,1.0,0.0,8,0.4,True,149.46,,0.396126
-68.203,0.9995,1.0,0.0,9,0.4,True,149.46,,0.395834
1.2412,0.9992,1.0,0.0,0,0.8,True,149.46,,0.807355
1.0027,0.9993,1.0,0.0,1,0.8,True,149.46,,0.805942
0.4851,0.9979,1.0,0.0,2,0.8,True,149.46,,0.802875
1.3498,0.9996,1.0,0.0,3,0.8,True,149.46,,0.807999
1.292,0.9996,1.0,0.0,4,0.8,True,149.46,,0.807657
0.6664,0.9993,1.0,0.0,5,0.8,True,149.46,,0.803949
0.4346,0.9998,1.0,0.0,6,0.8,True,149.46,,0.802576
1.0269,0.9998,1.0,0.0,7,0.8,True,149.46,,0.806085
1.2497,0.9992,1.0,0.0,8,0.8,True,149.46,,0.807406
0.8703,0.9992,1.0,0.0,9,0.8,True,149.46,,0.805157
68.4299,0.9989,1.0,0.0,0,1.2000000000000002,True,149.46,,1.20551
68.4421,0.9997,1.0,0.0,1,1.2000000000000002,True,149.46,,1.205583
68.2982,0.9996,1.0,0.0,2,1.2000000000000002,True,149.46,,1.20473
68.4062,0.9993,1.0,0.0,3,1.2000000000000002,True,149.46,,1.20537
68.3932,0.9984,1.0,0.0,4,1.2000000000000002,True,149.46,,1.205293
68.4031,0.9991,1.0,0.0,5,1.2000000000000002,True,149.46,,1.205352
68.4404,0.9993,1.0,0.0,6,1.2000000000000002,True,149.46,,1.205573
68.3955,0.9984,1.0,0.0,7,1.2000000000000002,True,149.46,,1.205306
68.3646,0.999,1.0,0.0,8,1.2000000000000002,True,149.46,,1.205123
68.3434,0.9987,1.0,0.0,9,1.2000000000000002,True,149.46,,1.204998
134.7051,0.9997,1.0,0.0,0,1.6,True,149.46,,1.598253
135.131,0.9994,1.0,0.0,1,1.6,True,149.46,,1.600776
134.8941,0.9988,1.0,0.0,2,1.6,True,149.46,,1.599373
134.7745,0.9993,1.0,0.0,3,1.6,True,149.46,,1.598664
134.9341,0.9985,1.0,0.0,4,1.6,True,149.46,,1.599609
135.077,0.9985,1.0,0.0,5,1.6,True,149.46,,1.600456
134.8041,0.9989,1.0,0.0,6,1.6,True,149.46,,1.598839
135.1008,0.9987,1.0,0.0,7,1.6,True,149.46,,1.600597
134.8624,0.9989,1.0,0.0,8,1.6,True,149.46,,1.599184
134.743,0.9987,1.0,0.0,9,1.6,True,149.46,,1.598477
