series,t_s,pan_deg,error_px,omega_dps,zoom
zoom 1x,0.0,0.0,353.43,33.134,1.0
zoom 1x,0.1002,1.08,320.8,30.565,1.0
zoom 1x,0.2003,4.0115,233.35,23.384,1.0
zoom 1x,0.3004,6.4215,162.41,16.893,1.0
zoom 1x,0.4006,8.1686,111.36,12.433,1.0
zoom 1x,0.5007,9.4325,74.56,9.068,1.0
zoom 1x,0.6008,10.2583,50.56,6.774,1.0
zoom 1x,0.7009,10.9357,30.89,4.916,1.0
zoom 1x,0.8011,11.4273,16.62,3.53,1.0
zoom 1x,0.9012,11.7802,6.38,2.504,1.0
zoom 1x,1.0013,12.0306,-0.89,1.75,1.0
zoom 1x,1.1014,12.1881,-5.46,1.239,1.0
zoom 1x,1.2016,12.312,-9.05,0.834,1.0
zoom 1x,1.3017,12.3955,-11.48,0.537,1.0
zoom 1x,1.4018,12.4492,-13.04,0.32,1.0
zoom 1x,1.502,12.4812,-13.97,0.164,1.0
zoom 1x,1.6021,12.4959,-14.39,0.056,1.0
zoom 1x,1.7022,12.5016,-14.56,-0.023,1.0
zoom 1x,1.8023,12.5016,-14.56,-0.083,1.0
zoom 1x,1.9024,12.5016,-14.56,-0.14,1.0
zoom 1x,2.0026,12.5016,-14.56,-0.196,1.0
zoom 1x,2.1027,12.5016,-14.56,-0.251,1.0
zoom 1x,2.2028,12.4842,-14.05,-0.265,1.0
zoom 1x,2.3029,12.4577,-13.28,-0.251,1.0
zoom 1x,2.403,12.4326,-12.55,-0.234,1.0
zoom 1x,2.5032,12.4092,-11.88,-0.216,1.0
zoom 1x,2.6033,12.3897,-11.31,-0.206,1.0
zoom 1x,2.7035,12.3692,-10.71,-0.191,1.0
zoom 1x,2.8036,12.35,-10.16,-0.178,1.0
zoom 1x,2.9038,12.3322,-9.64,-0.166,1.0
zoom 1x,3.0039,12.3156,-9.16,-0.156,1.0
zoom 1x,3.1041,12.3016,-8.75,-0.15,1.0
zoom 1x,3.2042,12.2866,-8.32,-0.141,1.0
zoom 1x,3.3044,12.2724,-7.91,-0.133,1.0
zoom 1x,3.4045,12.2591,-7.52,-0.126,1.0
zoom 1x,3.5046,12.2466,-7.16,-0.119,1.0
zoom 1x,3.6047,12.2359,-6.85,-0.115,1.0
zoom 1x,3.7048,12.2244,-6.51,-0.109,1.0
zoom 1x,3.8049,12.2134,-6.19,-0.103,1.0
zoom 1x,3.9051,12.2031,-5.89,-0.097,1.0
zoom 3x,0.0,-0.0623,1065.97,33.311,3.0
zoom 3x,0.1001,1.32,940.75,30.024,3.0
zoom 3x,0.2002,4.274,676.75,22.719,3.0
zoom 3x,0.3003,6.3938,489.65,16.865,3.0
zoom 3x,0.4004,8.1254,337.85,11.942,3.0
zoom 3x,0.5005,9.3461,231.22,8.313,3.0
zoom 3x,0.6007,10.1897,157.66,5.729,3.0
zoom 3x,0.7008,10.7644,107.59,3.934,3.0
zoom 3x,0.8009,11.1185,76.75,2.915,3.0
zoom 3x,0.901,11.41,51.37,2.112,3.0
zoom 3x,1.0011,11.6212,32.98,1.523,3.0
zoom 3x,1.1012,11.7734,19.73,1.092,3.0
zoom 3x,1.2013,11.8717,11.17,0.803,3.0
zoom 3x,1.3014,11.952,4.18,0.571,3.0
zoom 3x,1.4016,12.009,-0.78,0.4,3.0
zoom 3x,1.5017,12.049,-4.27,0.274,3.0
zoom 3x,1.6018,12.0736,-6.41,0.188,3.0
zoom 3x,1.702,12.0925,-8.05,0.121,3.0
zoom 3x,1.8021,12.1046,-9.11,0.072,3.0
zoom 3x,1.9022,12.1118,-9.73,0.037,3.0
zoom 3x,2.0023,12.1155,-10.06,0.011,3.0
zoom 3x,2.1024,12.1165,-10.14,-0.006,3.0
zoom 3x,2.2026,12.1165,-10.14,-0.021,3.0
zoom 3x,2.3027,12.1165,-10.14,-0.034,3.0
zoom 3x,2.4028,12.1165,-10.14,-0.047,3.0
zoom 3x,2.5028,12.1165,-10.14,-0.059,3.0
zoom 3x,2.6029,12.1165,-10.14,-0.072,3.0
zoom 3x,2.703,12.1165,-10.14,-0.085,3.0
zoom 3x,2.8031,12.1165,-10.14,-0.097,3.0
zoom 3x,2.9033,12.1165,-10.14,-0.11,3.0
zoom 3x,3.0035,12.114,-9.93,-0.117,3.0
zoom 3x,3.1036,12.1034,-9.0,-0.104,3.0
zoom 3x,3.2037,12.0931,-8.11,-0.088,3.0
zoom 3x,3.3037,12.0843,-7.34,-0.074,3.0
zoom 3x,3.4039,12.0769,-6.7,-0.062,3.0
zoom 3x,3.5039,12.0707,-6.16,-0.053,3.0
zoom 3x,3.6041,12.0654,-5.69,-0.045,3.0
zoom 3x,3.7042,12.0614,-5.35,-0.04,3.0
zoom 3x,3.8043,12.0573,-4.99,-0.035,3.0
zoom 3x,3.9044,12.0538,-4.68,-0.032,3.0
zoom 3x 关调度,0.0,-0.0623,1065.97,60.0,3.0
zoom 3x 关调度,0.1002,1.32,940.75,60.0,3.0
zoom 3x 关调度,0.2003,4.56,651.41,60.0,3.0
zoom 3x 关调度,0.3004,10.2,156.76,24.153,3.0
zoom 3x 关调度,0.4005,14.88,-250.95,-13.58,3.0
zoom 3x 关调度,0.5006,17.16,-450.46,-35.23,3.0
zoom 3x 关调度,0.6007,17.21,-454.85,-39.747,3.0
zoom 3x 关调度,0.7008,14.93,-255.32,-25.741,3.0
zoom 3x 关调度,0.8009,12.2641,-22.99,-6.842,3.0
zoom 3x 关调度,0.901,10.9289,93.26,4.855,3.0
zoom 3x 关调度,1.0012,11.088,79.41,6.006,3.0
zoom 3x 关调度,1.1013,11.6886,27.11,2.721,3.0
zoom 3x 关调度,1.2014,11.9695,2.66,0.663,3.0
zoom 3x 关调度,1.3015,12.0292,-2.54,-0.025,3.0
zoom 3x 关调度,1.4016,12.0292,-2.54,-0.188,3.0
zoom 3x 关调度,1.5018,12.0292,-2.54,-0.26,3.0
zoom 3x 关调度,1.602,12.0292,-2.54,-0.294,3.0
zoom 3x 关调度,1.7021,12.0025,-0.22,-0.125,3.0
zoom 3x 关调度,1.8023,11.99,0.87,-0.022,3.0
zoom 3x 关调度,1.9024,11.988,1.04,0.011,3.0
zoom 3x 关调度,2.0025,11.988,1.04,0.022,3.0
zoom 3x 关调度,2.1027,11.988,1.04,0.029,3.0
zoom 3x 关调度,2.2028,11.988,1.04,0.034,3.0
zoom 3x 关调度,2.303,11.988,1.04,0.039,3.0
zoom 3x 关调度,2.4031,11.988,1.04,0.043,3.0
zoom 3x 关调度,2.5032,11.988,1.04,0.047,3.0
zoom 3x 关调度,2.6033,11.988,1.04,0.051,3.0
zoom 3x 关调度,2.7035,11.988,1.04,0.055,3.0
zoom 3x 关调度,2.8036,11.988,1.04,0.059,3.0
zoom 3x 关调度,2.9037,11.988,1.04,0.063,3.0
zoom 3x 关调度,3.0038,11.988,1.04,0.066,3.0
zoom 3x 关调度,3.104,11.9888,0.98,0.065,3.0
zoom 3x 关调度,3.2041,11.9953,0.41,0.022,3.0
zoom 3x 关调度,3.3042,11.9975,0.22,0.003,3.0
zoom 3x 关调度,3.4043,11.9977,0.2,-0.001,3.0
zoom 3x 关调度,3.5044,11.9977,0.2,-0.002,3.0
zoom 3x 关调度,3.6046,11.9977,0.2,-0.002,3.0
zoom 3x 关调度,3.7047,11.9977,0.2,-0.001,3.0
zoom 3x 关调度,3.8048,11.9977,0.2,-0.001,3.0
zoom 3x 关调度,3.905,11.9977,0.2,-0.0,3.0
