run,线性度,重复性,基本误差
s1,0.279,0.284,0.436
s10,0.541,3.738,3.808
s11,0.276,0.313,0.457
s12,0.268,0.312,0.458
s2,0.303,0.275,0.431
s20,0.302,0.308,0.45
s21,0.257,0.325,0.455
s22,0.363,0.294,0.439
s23,0.247,0.308,0.444
s24,0.334,0.316,0.454
s25,0.333,0.28,0.435
s26,0.307,0.354,0.486
s27,0.292,0.281,0.424
s28,0.272,0.304,0.454
s29,0.302,0.304,0.468
s3,0.313,0.308,0.484
s30,0.282,0.308,0.435
s31,0.439,3.87,3.549
s32,0.305,0.28,0.458
s33,0.661,5.475,5.5
s34,0.33,0.271,0.46
s35,0.291,0.335,0.45
s36,0.357,0.261,0.43
s37,0.305,0.349,0.466
s38,0.301,0.338,0.473
s39,0.314,0.313,0.443
s4,0.268,0.293,0.442
s40,0.297,0.347,0.477
s41,0.238,0.285,0.414
s42,0.338,0.216,0.459
s43,0.289,0.358,0.482
s44,0.32,0.335,0.463
s45,0.308,5.423,5.09
s46,0.267,0.194,0.358
s47,0.321,0.352,0.461
s48,0.261,0.313,0.437
s49,0.297,0.306,0.437
s5,0.256,0.219,0.356
s50,0.329,0.292,0.451
s6,0.306,0.309,0.456
s7,0.294,0.333,0.473
s8,0.279,0.317,0.433
s9,0.294,0.335,0.464
